PHI,81.5
NYM,74
MIA,64.5
WAS,90
ATL,86
CIN,88.5
CHC,72
STL,85.5
MIL,79.5
PIT,79
SF,86
SD,74.5
LAD,90
ARI,81.5
COL,71.5
BOS,79.5
NYY,86.5
TB,86
BAL,76.5
TOR,86.5
CLE,77.5
CHW,80.5
DET,90
KC,79
MIN,64.5
OAK,83
LAA,89.5
TEX,87
HOU,59.5
SEA,76.5
